stage_history_id,opportunity_id,from_stage,to_stage,stage_entered_date,stage_exited_date,days_in_stage,changed_by_user_id,is_regression
SH-6000,OPP-4000,,Qualified Lead,2017-02-01,2017-02-12,11.0,USR-3066,0
SH-6001,OPP-4000,Lead,Opportunity,2017-02-12,2017-02-21,9.0,USR-3066,0
SH-6002,OPP-4000,Qualified Lead,Negotiation,2017-02-21,2017-03-04,11.0,USR-3066,0
SH-6003,OPP-4000,Opportunity,Negotiation,2017-03-04,2017-06-20,9.0,USR-3066,0
SH-6004,OPP-4001,,Qualified Lead,2020-07-27,2020-08-02,6.0,USR-3068,0
SH-6005,OPP-4001,Lead,Opportunity,2020-08-02,2020-08-19,17.0,USR-3068,0
SH-6006,OPP-4001,Qualified Lead,Negotiation,2020-08-19,2020-09-05,17.0,USR-3068,0
SH-6007,OPP-4001,Opportunity,Negotiation,2020-09-05,2020-10-14,10.0,USR-3068,0
SH-6008,OPP-4002,,Qualified Lead,2020-08-12,2020-08-18,6.0,USR-3071,0
SH-6009,OPP-4002,Lead,Opportunity,2020-08-18,2020-09-05,18.0,USR-3071,0
SH-6010,OPP-4002,Qualified Lead,Negotiation,2020-09-05,2020-09-16,11.0,USR-3071,0
SH-6011,OPP-4002,Opportunity,Negotiation,2020-09-16,2020-10-06,19.0,USR-3071,0
SH-6012,OPP-4003,,Qualified Lead,2020-02-20,2020-02-28,8.0,USR-3071,0
SH-6013,OPP-4003,Lead,Opportunity,2020-02-28,2020-03-13,14.0,USR-3071,0
SH-6014,OPP-4003,Qualified Lead,Negotiation,2020-03-13,2020-04-10,28.0,USR-3071,0
SH-6015,OPP-4003,Opportunity,Negotiation,2020-04-10,2020-04-14,13.0,USR-3071,0
SH-6016,OPP-4004,,Qualified Lead,2021-07-24,2021-07-29,5.0,USR-3058,0
SH-6017,OPP-4004,Lead,Opportunity,2021-07-29,2021-08-18,20.0,USR-3058,0
SH-6018,OPP-4004,Qualified Lead,Negotiation,2021-08-18,2021-09-07,20.0,USR-3058,0
SH-6019,OPP-4004,Opportunity,Negotiation,2021-09-07,2021-08-21,17.0,USR-3058,0
SH-6020,OPP-4005,,Qualified Lead,2016-07-06,2016-07-16,10.0,USR-3071,0
SH-6021,OPP-4005,Lead,Opportunity,2016-07-16,2016-07-27,11.0,USR-3071,0
SH-6022,OPP-4005,Qualified Lead,Negotiation,2016-07-27,2016-08-22,26.0,USR-3071,0
SH-6023,OPP-4005,Opportunity,Negotiation,2016-08-22,2016-08-12,23.0,USR-3071,0
SH-6024,OPP-4006,,Qualified Lead,2018-09-09,2018-09-14,5.0,USR-3008,0
SH-6025,OPP-4006,Lead,Opportunity,2018-09-14,2018-09-26,12.0,USR-3008,0
SH-6026,OPP-4006,Qualified Lead,Negotiation,2018-09-26,2018-10-26,30.0,USR-3008,0
SH-6027,OPP-4006,Opportunity,Negotiation,2018-10-26,2018-10-17,9.0,USR-3008,0
SH-6028,OPP-4007,,Qualified Lead,2021-11-28,2021-12-03,5.0,USR-3025,0
SH-6029,OPP-4007,Lead,Opportunity,2021-12-03,2021-12-12,9.0,USR-3025,0
SH-6030,OPP-4007,Qualified Lead,Negotiation,2021-12-12,2022-01-13,32.0,USR-3025,0
SH-6031,OPP-4007,Opportunity,Negotiation,2022-01-13,2022-03-14,25.0,USR-3025,0
SH-6032,OPP-4008,,Qualified Lead,2016-05-27,2016-06-07,11.0,USR-3029,0
SH-6033,OPP-4008,Lead,Opportunity,2016-06-07,2016-06-17,10.0,USR-3029,0
SH-6034,OPP-4008,Qualified Lead,Negotiation,2016-06-17,2016-07-13,26.0,USR-3029,0
SH-6035,OPP-4008,Opportunity,Negotiation,2016-07-13,2016-06-22,27.0,USR-3029,0
SH-6036,OPP-4009,,Qualified Lead,2022-06-09,2022-06-11,2.0,USR-3075,0
SH-6037,OPP-4009,Lead,Opportunity,2022-06-11,2022-06-28,17.0,USR-3075,0
SH-6038,OPP-4009,Qualified Lead,Negotiation,2022-06-28,2022-08-04,37.0,USR-3075,0
SH-6039,OPP-4009,Opportunity,Negotiation,2022-08-04,2022-08-24,34.0,USR-3075,0
SH-6040,OPP-4010,,Qualified Lead,2024-07-21,2024-07-27,6.0,USR-3053,0
SH-6041,OPP-4010,Lead,Opportunity,2024-07-27,2024-08-16,20.0,USR-3053,0
SH-6042,OPP-4010,Qualified Lead,Negotiation,2024-08-16,2024-09-14,29.0,USR-3053,0
SH-6043,OPP-4010,Opportunity,Negotiation,2024-09-14,2024-09-04,21.0,USR-3053,0
SH-6044,OPP-4011,,Qualified Lead,2021-09-06,2021-09-09,3.0,USR-3024,0
SH-6045,OPP-4011,Lead,Opportunity,2021-09-09,2021-09-15,6.0,USR-3024,0
SH-6046,OPP-4011,Qualified Lead,Negotiation,2021-09-15,2021-10-13,28.0,USR-3024,0
SH-6047,OPP-4011,Opportunity,Negotiation,2021-10-13,2021-10-31,7.0,USR-3024,0
SH-6048,OPP-4011,Negotiation,Opportunity,2021-10-25,,,USR-3024,1
SH-6049,OPP-4012,,Qualified Lead,2023-04-02,2023-04-05,3.0,USR-3048,0
SH-6050,OPP-4012,Lead,Opportunity,2023-04-05,2023-04-10,5.0,USR-3048,0
SH-6051,OPP-4012,Qualified Lead,Negotiation,2023-04-10,2023-04-21,11.0,USR-3048,0
SH-6052,OPP-4012,Opportunity,Negotiation,2023-04-21,2023-05-16,7.0,USR-3048,0
SH-6053,OPP-4013,,Qualified Lead,2024-10-09,2024-10-13,4.0,USR-3044,0
SH-6054,OPP-4013,Lead,Opportunity,2024-10-13,2024-10-31,18.0,USR-3044,0
SH-6055,OPP-4013,Qualified Lead,Negotiation,2024-10-31,2024-11-22,22.0,USR-3044,0
SH-6056,OPP-4013,Opportunity,Negotiation,2024-11-22,2024-12-11,20.0,USR-3044,0
SH-6057,OPP-4014,,Qualified Lead,2023-05-02,2023-05-11,9.0,USR-3044,0
SH-6058,OPP-4014,Lead,Opportunity,2023-05-11,2023-05-16,5.0,USR-3044,0
SH-6059,OPP-4014,Qualified Lead,Negotiation,2023-05-16,2023-06-11,26.0,USR-3044,0
SH-6060,OPP-4014,Opportunity,Negotiation,2023-06-11,2023-07-05,23.0,USR-3044,0
SH-6061,OPP-4015,,Qualified Lead,2017-07-05,2017-07-11,6.0,USR-3012,0
SH-6062,OPP-4015,Lead,Opportunity,2017-07-11,2017-07-25,14.0,USR-3012,0
SH-6063,OPP-4015,Qualified Lead,Negotiation,2017-07-25,2017-08-26,32.0,USR-3012,0
SH-6064,OPP-4015,Opportunity,Negotiation,2017-08-26,2017-07-27,26.0,USR-3012,0
SH-6065,OPP-4016,,Qualified Lead,2023-01-16,2023-01-27,11.0,USR-3008,0
