opportunity_id,opportunity_name,account_id,primary_contact_id,owner_user_id,division,region,deal_type,lead_source,stage,amount,discount_pct,probability_manual,created_date,expected_close_date,close_date_actual,is_won,lost_reason,is_renewal,fiscal_year,fiscal_quarter,is_open
OPP-4000,Matrix Apparel - BrandVault - New Business - 2017,ACC-1073,CON-2293,USR-3066,BrandVault,Europe,New Business,Existing Relationship,Closed Lost,690000,11.2,72.0,2017-02-01,2017-03-03,2017-06-20,0.0,Budget cut / cancelled,0,2017,Q1,0
OPP-4001,Terra Fashion - BrandVault - New Business - 2020,ACC-1108,CON-2100,USR-3068,BrandVault,Australia,New Business,Inbound Inquiry,Closed Won,445000,10.7,55.0,2020-07-27,2020-09-08,2020-10-14,1.0,,0,2020,Q3,0
OPP-4002,Ignite Apparel - BrandVault - New Business - 2020,ACC-1182,CON-2222,USR-3071,BrandVault,Europe,New Business,Referral,Closed Won,386500,15.7,55.0,2020-08-12,2020-11-01,2020-10-06,1.0,,0,2020,Q3,0
OPP-4003,Bastion Sportswear - BrandVault - New Business - 2020,ACC-1036,CON-2324,USR-3071,BrandVault,North America,New Business,Inbound Inquiry,Closed Won,592000,4.6,74.0,2020-02-20,2020-03-20,2020-04-14,1.0,,0,2020,Q1,0
OPP-4004,Wraith Athletics - PulseMedia - New Business - 2021,ACC-1120,CON-2427,USR-3058,PulseMedia,North America,New Business,Outbound Cold Call,Closed Won,115500,14.0,22.0,2021-07-24,2021-09-19,2021-08-21,1.0,,0,2021,Q3,0
OPP-4005,Neon Cosmetics - BrandVault - New Business - 2016,ACC-1186,CON-2048,USR-3071,BrandVault,India,New Business,Website Form,Closed Won,1200000,10.7,49.0,2016-07-06,2016-09-01,2016-08-12,1.0,,0,2016,Q3,0
OPP-4006,Zeta Sports - TalentEdge - Upsell - 2018,ACC-1217,CON-2091,USR-3008,TalentEdge,North America,Upsell,Outbound Cold Call,Closed Won,85000,12.7,60.0,2018-09-09,2018-10-13,2018-10-17,1.0,,0,2018,Q3,0
OPP-4007,Opal Fashion - CreativeMotion - New Business - 2021,ACC-1066,CON-2055,USR-3025,CreativeMotion,Europe,New Business,Existing Relationship,Closed Lost,104500,10.4,34.0,2021-11-28,2022-02-19,2022-03-14,0.0,Budget cut / cancelled,0,2021,Q4,0
OPP-4008,Lambda Fashion - CreativeMotion - New Business - 2016,ACC-1053,CON-2461,USR-3029,CreativeMotion,Europe,New Business,Website Form,Closed Won,149000,7.1,49.0,2016-05-27,2016-08-06,2016-06-22,1.0,,0,2016,Q2,0
OPP-4009,Haven Consumer - BrandVault - New Business - 2022,ACC-1059,CON-2449,USR-3075,BrandVault,Australia,New Business,LinkedIn Outreach,Closed Lost,580500,4.5,78.0,2022-06-09,2022-08-16,2022-08-24,0.0,Deal went silent,0,2022,Q2,0
OPP-4010,Petal Fashion - PulseMedia - Upsell - 2024,ACC-1024,CON-2184,USR-3053,PulseMedia,North America,Upsell,Website Form,Closed Won,330000,13.1,59.0,2024-07-21,2024-09-13,2024-09-04,1.0,,0,2024,Q3,0
OPP-4011,Petal Fashion - CreativeMotion - New Business - 2021,ACC-1187,CON-2121,USR-3024,CreativeMotion,Europe,New Business,Inbound Inquiry,Closed Won,62000,8.4,45.0,2021-09-06,2021-09-27,2021-10-31,1.0,,0,2021,Q3,0
OPP-4012,Sand Consumer - PulseMedia - New Business - 2023,ACC-1089,CON-2213,USR-3048,PulseMedia,Asia Pacific,New Business,Referral,Closed Won,260500,5.0,25.0,2023-04-02,2023-05-19,2023-05-16,1.0,,0,2023,Q2,0
OPP-4013,Glacier Foods - PulseMedia - New Business - 2024,ACC-1168,CON-2134,USR-3044,PulseMedia,Asia Pacific,New Business,Existing Relationship,Closed Won,141000,16.3,62.0,2024-10-09,2024-12-26,2024-12-11,1.0,,0,2024,Q4,0
OPP-4014,Tau Media - PulseMedia - New Business - 2023,ACC-1065,CON-2460,USR-3044,PulseMedia,India,New Business,Website Form,Closed Won,128000,10.3,31.0,2023-05-02,2023-05-29,2023-07-05,1.0,,0,2023,Q2,0
OPP-4015,Raven Entertainment - TalentEdge - New Business - 2017,ACC-1156,CON-2401,USR-3012,TalentEdge,Europe,New Business,Website Form,Closed Won,88500,10.9,26.0,2017-07-05,2017-08-07,2017-07-27,1.0,,0,2017,Q3,0
OPP-4016,Neon Cosmetics - TalentEdge - Renewal - 2023,ACC-1186,CON-2511,USR-3008,TalentEdge,Australia,Renewal,Website Form,Closed Won,192000,23.6,29.0,2023-01-16,2023-02-09,2023-03-02,1.0,,1,2023,Q1,0
OPP-4017,Oasis Sports - CreativeMotion - New Business - 2021,ACC-1147,CON-2488,USR-3018,CreativeMotion,Asia Pacific,New Business,Conference / Event,Closed Won,186500,8.7,20.0,2021-12-16,2022-01-13,2022-02-15,1.0,,0,2021,Q4,0
OPP-4018,Meridian Sports - BrandVault - New Business - 2019,ACC-1031,CON-2246,USR-3074,BrandVault,Asia Pacific,New Business,Partner Referral,Closed Lost,501000,26.2,66.0,2019-05-02,2019-07-04,2019-08-02,0.0,Scope too complex,0,2019,Q2,0
OPP-4019,Iota Media - CreativeMotion - New Business - 2024,ACC-1045,CON-2360,USR-3019,CreativeMotion,Europe,New Business,Conference / Event,Closed Lost,158000,10.3,28.0,2024-09-10,2024-11-25,2024-10-14,0.0,Chose competitor,0,2024,Q3,0
OPP-4020,Ember Retail - TalentEdge - New Business - 2020,ACC-1061,CON-2005,USR-3016,TalentEdge,Australia,New Business,Inbound Inquiry,Closed Won,103500,14.3,40.0,2020-11-21,2021-02-06,2020-12-20,1.0,,0,2020,Q4,0
OPP-4021,Neon Cosmetics - CreativeMotion - New Business - 2018,ACC-1103,,USR-3021,CreativeMotion,North America,New Business,Outbound Cold Call,Closed Won,92500,9.3,64.0,2018-09-17,2018-12-14,2018-11-02,1.0,,0,2018,Q3,0
OPP-4022,Kite Athletics - TalentEdge - New Business - 2021,ACC-1009,CON-2338,USR-3004,TalentEdge,North America,New Business,Referral,Closed Lost,86000,15.5,47.0,2021-01-20,2021-02-15,2021-03-13,0.0,Budget cut / cancelled,0,2021,Q1,0
OPP-4023,Sigma Apparel - TalentEdge - New Business - 2016,ACC-1016,CON-2040,USR-3003,TalentEdge,Australia,New Business,Outbound Cold Call,Closed Lost,77500,10.2,39.0,2016-09-20,2016-11-20,2016-10-26,0.0,Internal staffing issue,0,2016,Q3,0
OPP-4024,Niche Cosmetics - BrandVault - New Business - 2022,ACC-1195,CON-2517,USR-3062,BrandVault,Europe,New Business,Partner Referral,Closed Lost,611500,13.7,35.0,2022-05-04,2022-08-02,2022-07-19,0.0,Requirements changed,0,2022,Q2,0
OPP-4025,Horizon Fashion - PulseMedia - New Business - 2023,ACC-1025,CON-2178,USR-3054,PulseMedia,Europe,New Business,Existing Relationship,Closed Won,90500,9.7,62.0,2023-01-16,2023-02-16,2023-02-22,1.0,,0,2023,Q1,0
OPP-4026,Archon Retail - PulseMedia - New Business - 2018,ACC-1177,CON-2070,USR-3043,PulseMedia,Asia Pacific,New Business,Outbound Cold Call,Closed Won,192500,14.7,63.0,2018-09-17,2018-10-29,2018-11-08,1.0,,0,2018,Q3,0
OPP-4027,Raven Entertainment - PulseMedia - New Business - 2019,ACC-1160,,USR-3051,PulseMedia,North America,New Business,Conference / Event,Closed Lost,247500,11.6,48.0,2019-01-08,2019-04-07,2019-04-16,0.0,Requirements changed,0,2019,Q1,0
OPP-4028,Meridian Sports - PulseMedia - Upsell - 2018,ACC-1070,CON-2076,USR-3037,PulseMedia,Europe,Upsell,LinkedIn Outreach,Closed Lost,220000,41.1,37.0,2018-11-22,2018-12-17,2019-02-11,0.0,Budget cut / cancelled,0,2018,Q4,0
OPP-4029,Zinc Entertainment - CreativeMotion - New Business - 2015,ACC-1157,CON-2153,USR-3033,CreativeMotion,India,New Business,Partner Referral,Closed Lost,147000,6.7,56.0,2015-10-18,2015-11-16,2015-12-31,0.0,Chose competitor,0,2015,Q4,0
OPP-4030,Quiver Retail - CreativeMotion - New Business - 2018,ACC-1191,CON-2146,USR-3028,CreativeMotion,Europe,New Business,Conference / Event,Closed Won,241000,7.6,24.0,2018-02-08,2018-03-25,2018-03-04,1.0,,0,2018,Q1,0
OPP-4031,Eclipse Entertainment - PulseMedia - New Business - 2018,ACC-1111,CON-2241,USR-3043,PulseMedia,North America,New Business,Website Form,Closed Won,301500,35.9,32.0,2018-09-06,2018-10-20,2018-10-17,1.0,,0,2018,Q3,0
OPP-4032,Prism Media - TalentEdge - New Business - 2017,ACC-1015,CON-2083,USR-3008,TalentEdge,Australia,New Business,Conference / Event,Closed Lost,125500,9.3,25.0,2017-11-15,2017-12-25,2017-12-31,0.0,Timeline mismatch,0,2017,Q4,0
OPP-4033,Iris Apparel - BrandVault - New Business - 2023,ACC-1055,CON-2444,USR-3078,BrandVault,Asia Pacific,New Business,Outbound Cold Call,Closed Lost,270500,15.2,75.0,2023-05-24,2023-07-11,2023-09-17,0.0,Internal staffing issue,0,2023,Q2,0
OPP-4034,Craft Cosmetics - BrandVault - New Business - 2024,ACC-1011,CON-2458,USR-3062,BrandVault,Asia Pacific,New Business,Partner Referral,Closed Won,320000,10.2,34.0,2024-10-17,2024-11-18,2024-11-26,1.0,,0,2024,Q4,0
OPP-4035,Archon Retail - PulseMedia - Renewal - 2024,ACC-1177,CON-2239,USR-3057,PulseMedia,North America,Renewal,Inbound Inquiry,Closed Lost,243000,23.1,79.0,2024-03-10,2024-04-19,2024-05-07,0.0,Timeline mismatch,1,2024,Q1,0
OPP-4036,Cascade Beauty - PulseMedia - New Business - 2017,ACC-1180,CON-2371,USR-3054,PulseMedia,Europe,New Business,Inbound Inquiry,Closed Lost,248000,17.7,38.0,2017-11-21,2018-01-29,2018-02-02,0.0,Chose competitor,0,2017,Q4,0
OPP-4037,Flare Sports - PulseMedia - Upsell - 2023,ACC-1138,CON-2133,USR-3046,PulseMedia,Australia,Upsell,Referral,Closed Won,290000,13.9,43.0,2023-02-11,2023-04-18,2023-04-07,1.0,,0,2023,Q1,0
OPP-4038,Titan Apparel - PulseMedia - New Business - 2017,ACC-1093,CON-2475,USR-3053,PulseMedia,North America,New Business,Referral,Closed Lost,141000,13.5,59.0,2017-08-03,2017-09-22,2017-09-22,0.0,Requirements changed,0,2017,Q3,0
OPP-4039,Magnet Athletics - PulseMedia - New Business - 2023,ACC-1179,CON-2248,USR-3046,PulseMedia,Australia,New Business,Inbound Inquiry,Closed Won,500000,15.2,24.0,2023-10-11,2023-12-24,2023-12-09,1.0,,0,2023,Q4,0
OPP-4040,Dusk Entertainment - CreativeMotion - New Business - 2023,ACC-1128,CON-2349,USR-3035,CreativeMotion,Asia Pacific,New Business,LinkedIn Outreach,Closed Won,83500,17.8,68.0,2023-07-18,2023-09-13,2023-08-18,1.0,,0,2023,Q3,0
OPP-4041,Slate Entertainment - BrandVault - New Business - 2016,ACC-1048,CON-2002,USR-3077,BrandVault,North America,New Business,Partner Referral,Closed Lost,912500,14.8,29.0,2016-06-06,2016-07-10,2016-09-28,0.0,Timeline mismatch,0,2016,Q2,0
OPP-4042,Valor Apparel - TalentEdge - New Business - 2024,ACC-1075,CON-2300,USR-3013,TalentEdge,North America,New Business,Conference / Event,Closed Lost,102000,8.2,70.0,2024-08-05,2024-09-02,2024-09-04,0.0,No decision made,0,2024,Q3,0
OPP-4043,Delta Retail - PulseMedia - New Business - 2022,ACC-1105,CON-2191,USR-3052,PulseMedia,India,New Business,Outbound Cold Call,Closed Lost,202500,14.2,74.0,2022-11-16,2023-02-02,2023-03-01,0.0,Deal went silent,0,2022,Q4,0
OPP-4044,Valor Apparel - CreativeMotion - New Business - 2020,ACC-1058,CON-2480,USR-3034,CreativeMotion,India,New Business,Outbound Cold Call,Closed Won,151000,24.8,63.0,2020-05-28,2020-08-14,2020-08-12,1.0,,0,2020,Q2,0
OPP-4045,Solaris Entertainment - CreativeMotion - New Business - 2017,ACC-1214,CON-2161,USR-3022,CreativeMotion,Europe,New Business,Conference / Event,Closed Won,218500,7.8,54.0,2017-03-11,2017-05-17,2017-04-28,1.0,,0,2017,Q1,0
OPP-4046,Yoke Fashion - TalentEdge - New Business - 2020,ACC-1088,CON-2489,USR-3004,TalentEdge,India,New Business,Partner Referral,Closed Won,103000,17.1,66.0,2020-08-06,2020-08-29,2020-09-09,1.0,,0,2020,Q3,0
OPP-4047,Edge Cosmetics - BrandVault - New Business - 2024,ACC-1039,CON-2050,USR-3061,BrandVault,India,New Business,Partner Referral,Closed Won,308000,5.6,40.0,2024-08-17,2024-10-13,2024-11-06,1.0,,0,2024,Q3,0
OPP-4048,Cascade Beauty - TalentEdge - New Business - 2022,ACC-1010,CON-2501,USR-3004,TalentEdge,Asia Pacific,New Business,Conference / Event,Closed Lost,134000,6.4,55.0,2022-03-01,2022-05-01,2022-04-26,0.0,Chose competitor,0,2022,Q1,0
OPP-4049,Quad Apparel - TalentEdge - New Business - 2016,ACC-1050,CON-2329,USR-3000,TalentEdge,India,New Business,Conference / Event,Closed Won,69500,13.0,49.0,2016-11-22,2017-02-15,2016-12-14,1.0,,0,2016,Q4,0
OPP-4050,Lance Athletics - PulseMedia - New Business - 2020,ACC-1014,,USR-3053,PulseMedia,Australia,New Business,LinkedIn Outreach,Closed Won,263000,15.9,41.0,2020-10-14,2020-12-09,2020-12-18,1.0,,0,2020,Q4,0
OPP-4051,Falcon Apparel - BrandVault - Upsell - 2023,ACC-1022,CON-2500,USR-3069,BrandVault,Australia,Upsell,Outbound Cold Call,Closed Won,224000,7.5,70.0,2023-07-14,2023-09-26,2023-09-27,1.0,,0,2023,Q3,0
OPP-4052,Lambda Fashion - PulseMedia - Renewal - 2021,ACC-1053,CON-2461,USR-3051,PulseMedia,Europe,Renewal,Website Form,Closed Lost,289000,42.0,45.0,2021-11-11,2021-12-01,2022-02-25,0.0,Chose competitor,1,2021,Q4,0
OPP-4053,Omega Entertainment - PulseMedia - New Business - 2018,ACC-1193,CON-2299,USR-3043,PulseMedia,Australia,New Business,Partner Referral,Closed Won,376000,16.6,54.0,2018-11-10,2019-01-07,2019-01-10,1.0,,0,2018,Q4,0
OPP-4054,Nest Retail - PulseMedia - Upsell - 2017,ACC-1202,CON-2113,USR-3036,PulseMedia,North America,Upsell,Outbound Cold Call,Closed Won,133500,10.7,50.0,2017-05-21,2017-07-16,2017-07-11,1.0,,0,2017,Q2,0
OPP-4055,Epsilon Retail - PulseMedia - New Business - 2023,ACC-1007,,USR-3041,PulseMedia,Europe,New Business,Existing Relationship,Closed Won,500000,4.7,72.0,2023-07-03,2023-09-22,2023-07-28,1.0,,0,2023,Q3,0
