line_item_id,opportunity_id,product_id,line_item_name,line_item_type,unit_type,unit_price,quantity,gross_amount,discount_applied_pct,net_amount,is_negotiated,created_date
LI-5000,OPP-4000,PRD-9024,Brand License - Minimum Guarantee,Brand License,flat fee,89675.95,1,89675.95,3.3,86716.64,0,2017-02-01
LI-5001,OPP-4000,PRD-9027,Character License - MG,Character License,flat fee,600324.05,1,600324.05,8.4,549896.83,1,2017-02-01
LI-5002,OPP-4001,PRD-9024,Brand License - Minimum Guarantee,Brand License,flat fee,445000.0,1,445000.0,15.6,375580.0,1,2020-07-27
LI-5003,OPP-4002,PRD-9026,Trademark License Fee,Trademark License Fee,flat fee,386500.0,1,386500.0,23.0,297605.0,1,2020-08-12
LI-5004,OPP-4003,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,592000.0,1,592000.0,4.2,567136.0,0,2020-02-20
LI-5005,OPP-4004,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,11088.6,1,11088.6,12.8,9669.26,1,2021-07-24
LI-5006,OPP-4004,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,16117.5,1,16117.5,8.5,14747.51,1,2021-07-24
LI-5007,OPP-4004,PRD-9022,Content Creation Package,Content Creation Package,flat fee,33464.47,1,33464.47,12.5,29281.41,1,2021-07-24
LI-5008,OPP-4004,PRD-9021,Event Marketing,Event Marketing,flat fee,54829.43,1,54829.43,17.6,45179.45,1,2021-07-24
LI-5009,OPP-4005,PRD-9027,Character License - MG,Character License,flat fee,839002.79,1,839002.79,3.5,809637.69,0,2016-07-06
LI-5010,OPP-4005,PRD-9029,Territory Rights Fee,Territory Rights Fee,flat fee,163847.72,1,163847.72,7.4,151722.99,1,2016-07-06
LI-5011,OPP-4005,PRD-9028,Sports Logo License,Sports Logo License,flat fee,176441.44,1,176441.44,0.5,175559.23,0,2016-07-06
LI-5012,OPP-4005,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,20708.05,1,20708.05,1.7,20356.01,0,2016-07-06
LI-5013,OPP-4006,PRD-9005,Usage Rights - Print,Usage Rights,flat fee,11931.17,1,11931.17,16.1,10010.25,1,2018-09-09
LI-5014,OPP-4006,PRD-9000,Model - Day Rate,Model,per day,11608.73,1,11608.73,15.2,9844.2,1,2018-09-09
LI-5015,OPP-4006,PRD-9006,Usage Rights - Digital,Usage Rights,flat fee,8852.09,1,8852.09,7.7,8170.48,1,2018-09-09
LI-5016,OPP-4006,PRD-9007,Usage Rights - Global,Usage Rights,flat fee,20867.85,1,20867.85,16.9,17341.18,1,2018-09-09
LI-5017,OPP-4006,PRD-9004,Creative Director - Day Rate,Creative Director,per day,4274.28,4,17097.12,14.8,14566.75,1,2018-09-09
LI-5018,OPP-4006,PRD-9003,Makeup Artist - Day Rate,Makeup Artist,per day,2409.32,4,9637.28,5.6,9097.59,1,2018-09-09
LI-5019,OPP-4006,PRD-9008,Production - Location Rental,Production,flat fee,5005.74,1,5005.74,16.8,4164.78,1,2018-09-09
LI-5020,OPP-4007,PRD-9014,Video Production Package,Video Production Package,flat fee,22393.95,1,22393.95,2.2,21901.28,0,2021-11-28
LI-5021,OPP-4007,PRD-9013,Post-Production Fee,Post-Production Fee,flat fee,18466.9,1,18466.9,13.3,16010.8,1,2021-11-28
LI-5022,OPP-4007,PRD-9015,Photography Package,Photography Package,flat fee,13348.61,1,13348.61,5.1,12667.83,1,2021-11-28
LI-5023,OPP-4007,PRD-9010,Director - Day Rate,Director,per day,1711.67,10,17116.7,8.5,15661.78,1,2021-11-28
LI-5024,OPP-4007,PRD-9011,Designer - Day Rate,Designer,per day,2786.89,10,27868.9,10.8,24859.06,1,2021-11-28
LI-5025,OPP-4007,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,5304.97,1,5304.97,10.7,4737.34,1,2021-11-28
LI-5026,OPP-4008,PRD-9011,Designer - Day Rate,Designer,per day,2028.29,4,8113.16,9.2,7366.75,1,2016-05-27
LI-5027,OPP-4008,PRD-9014,Video Production Package,Video Production Package,flat fee,67098.89,1,67098.89,8.3,61529.68,1,2016-05-27
LI-5028,OPP-4008,PRD-9015,Photography Package,Photography Package,flat fee,24893.26,1,24893.26,2.5,24270.93,0,2016-05-27
LI-5029,OPP-4008,PRD-9013,Post-Production Fee,Post-Production Fee,flat fee,7093.08,1,7093.08,5.3,6717.15,1,2016-05-27
LI-5030,OPP-4008,PRD-9010,Director - Day Rate,Director,per day,6369.54,4,25478.16,6.0,23949.47,1,2016-05-27
LI-5031,OPP-4008,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,16323.44,1,16323.44,2.2,15964.32,0,2016-05-27
LI-5032,OPP-4009,PRD-9025,Royalty Agreement Setup,Royalty Agreement Setup,flat fee,7313.89,1,7313.89,0.2,7299.26,0,2022-06-09
LI-5033,OPP-4009,PRD-9027,Character License - MG,Character License,flat fee,434178.06,1,434178.06,4.7,413771.69,0,2022-06-09
LI-5034,OPP-4009,PRD-9028,Sports Logo License,Sports Logo License,flat fee,124434.22,1,124434.22,2.8,120950.06,0,2022-06-09
LI-5035,OPP-4009,PRD-9030,License Renewal Fee,License Renewal Fee,flat fee,14573.84,1,14573.84,3.0,14136.62,0,2022-06-09
LI-5036,OPP-4010,PRD-9020,Branding & Identity,Branding & Identity,flat fee,114086.7,1,114086.7,4.5,108952.8,0,2024-07-21
LI-5037,OPP-4010,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,74364.05,1,74364.05,9.0,67671.29,1,2024-07-21
LI-5038,OPP-4010,PRD-9022,Content Creation Package,Content Creation Package,flat fee,19751.76,1,19751.76,6.8,18408.64,1,2024-07-21
LI-5039,OPP-4010,PRD-9018,Social Media Management,Social Media Management,per month,11563.01,4,46252.04,3.3,44725.72,0,2024-07-21
LI-5040,OPP-4010,PRD-9021,Event Marketing,Event Marketing,flat fee,63807.76,1,63807.76,8.7,58256.48,1,2024-07-21
LI-5041,OPP-4010,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,7358.28,1,7358.28,7.9,6776.98,1,2024-07-21
LI-5042,OPP-4010,PRD-9017,Digital Marketing - Hourly,Digital Marketing,per hour,312.81,14,4379.34,2.4,4274.24,0,2024-07-21
LI-5043,OPP-4011,PRD-9013,Post-Production Fee,Post-Production Fee,flat fee,12288.93,1,12288.93,4.7,11711.35,0,2021-09-06
LI-5044,OPP-4011,PRD-9011,Designer - Day Rate,Designer,per day,3117.3,5,15586.5,2.2,15243.6,0,2021-09-06
LI-5045,OPP-4011,PRD-9009,Scriptwriter - Project,Scriptwriter,flat fee,25103.44,1,25103.44,1.4,24751.99,0,2021-09-06
LI-5046,OPP-4011,PRD-9015,Photography Package,Photography Package,flat fee,9021.11,1,9021.11,3.9,8669.29,0,2021-09-06
LI-5047,OPP-4012,PRD-9022,Content Creation Package,Content Creation Package,flat fee,69013.14,1,69013.14,6.9,64251.23,1,2023-04-02
LI-5048,OPP-4012,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,35083.5,1,35083.5,6.4,32838.16,1,2023-04-02
LI-5049,OPP-4012,PRD-9023,Analytics & Reporting,Analytics & Reporting,per month,16768.8,1,16768.8,6.6,15662.06,1,2023-04-02
LI-5050,OPP-4012,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,139634.56,1,139634.56,0.6,138796.75,0,2023-04-02
LI-5051,OPP-4013,PRD-9018,Social Media Management,Social Media Management,per month,7237.06,6,43422.36,23.7,33131.26,1,2024-10-09
LI-5052,OPP-4013,PRD-9019,Media Planning & Buying,Media Planning & Buying,flat fee,24769.58,1,24769.58,9.3,22466.01,1,2024-10-09
LI-5053,OPP-4013,PRD-9021,Event Marketing,Event Marketing,flat fee,17185.08,1,17185.08,18.4,14023.03,1,2024-10-09
LI-5054,OPP-4013,PRD-9016,Campaign Strategy Fee,Campaign Strategy Fee,flat fee,16209.74,1,16209.74,22.6,12546.34,1,2024-10-09
