activity_id,opportunity_id,user_id,activity_type,subject,activity_date,duration_minutes,outcome,is_outbound,days_since_deal_created
ACT-7000,OPP-4000,USR-3066,Demo,Demo re: Matrix Apparel - BrandVault - New Busine,2017-02-05,90.0,,1,4
ACT-7001,OPP-4000,USR-3066,In-Person Meeting,In-Person Meeting re: Matrix Apparel - BrandVault - New Busine,2017-02-11,60.0,Negative - Client hesitant,0,10
ACT-7002,OPP-4000,USR-3066,Email,Email re: Matrix Apparel - BrandVault - New Busine,2017-02-19,,Positive - Follow up scheduled,1,18
ACT-7003,OPP-4000,USR-3066,In-Person Meeting,In-Person Meeting re: Matrix Apparel - BrandVault - New Busine,2017-02-21,,Positive - Moving to next stage,1,20
ACT-7004,OPP-4000,USR-3066,Proposal Sent,Proposal Sent re: Matrix Apparel - BrandVault - New Busine,2017-03-07,,Positive - Client interested,1,34
ACT-7005,OPP-4001,USR-3068,Video Meeting,Video Meeting re: Terra Fashion - BrandVault - New Busines,2020-08-08,90.0,Positive - Follow up scheduled,1,12
ACT-7006,OPP-4001,USR-3068,Phone Call,Phone Call re: Terra Fashion - BrandVault - New Busines,2020-08-21,90.0,Positive - Client interested,1,25
ACT-7007,OPP-4001,USR-3068,In-Person Meeting,In-Person Meeting re: Terra Fashion - BrandVault - New Busines,2020-08-31,90.0,Positive - Client interested,1,35
ACT-7008,OPP-4001,USR-3068,Video Meeting,Video Meeting re: Terra Fashion - BrandVault - New Busines,2020-09-04,60.0,Neutral - Information shared,1,39
ACT-7009,OPP-4001,USR-3068,Phone Call,Phone Call re: Terra Fashion - BrandVault - New Busines,2020-09-15,90.0,Positive - Follow up scheduled,1,50
ACT-7010,OPP-4001,USR-3068,Phone Call,Phone Call re: Terra Fashion - BrandVault - New Busines,2020-09-29,30.0,Positive - Client interested,1,64
ACT-7011,OPP-4002,USR-3071,Email,Email re: Ignite Apparel - BrandVault - New Busine,2020-08-26,,Positive - Moving to next stage,0,14
ACT-7012,OPP-4002,USR-3071,In-Person Meeting,In-Person Meeting re: Ignite Apparel - BrandVault - New Busine,2020-08-28,45.0,Positive - Follow up scheduled,0,16
ACT-7013,OPP-4002,USR-3071,Phone Call,Phone Call re: Ignite Apparel - BrandVault - New Busine,2020-09-04,90.0,Positive - Follow up scheduled,1,23
ACT-7014,OPP-4002,USR-3071,Demo,Demo re: Ignite Apparel - BrandVault - New Busine,2020-09-12,90.0,Positive - Moving to next stage,0,31
ACT-7015,OPP-4002,USR-3071,Demo,Demo re: Ignite Apparel - BrandVault - New Busine,2020-09-14,45.0,Neutral - Information shared,1,33
ACT-7016,OPP-4002,USR-3071,Email,Email re: Ignite Apparel - BrandVault - New Busine,2020-09-16,,Positive - Client interested,1,35
ACT-7017,OPP-4003,USR-3071,Email,Email re: Bastion Sportswear - BrandVault - New Bu,2020-02-23,,Positive - Client interested,1,3
ACT-7018,OPP-4003,USR-3071,Proposal Sent,Proposal Sent re: Bastion Sportswear - BrandVault - New Bu,2020-03-02,60.0,Positive - Follow up scheduled,1,11
ACT-7019,OPP-4003,USR-3071,Demo,Demo re: Bastion Sportswear - BrandVault - New Bu,2020-03-14,45.0,Neutral - Information shared,0,23
ACT-7020,OPP-4003,USR-3071,Phone Call,Phone Call re: Bastion Sportswear - BrandVault - New Bu,2020-03-17,15.0,Positive - Client interested,0,26
ACT-7021,OPP-4003,USR-3071,Video Meeting,Video Meeting re: Bastion Sportswear - BrandVault - New Bu,2020-03-29,30.0,,1,38
ACT-7022,OPP-4003,USR-3071,Video Meeting,Video Meeting re: Bastion Sportswear - BrandVault - New Bu,2020-04-05,30.0,Positive - Follow up scheduled,1,45
ACT-7023,OPP-4003,USR-3071,Proposal Sent,Proposal Sent re: Bastion Sportswear - BrandVault - New Bu,2020-04-07,30.0,Positive - Follow up scheduled,0,47
ACT-7024,OPP-4003,USR-3071,Video Meeting,Video Meeting re: Bastion Sportswear - BrandVault - New Bu,2020-04-12,60.0,Neutral - Information shared,1,52
ACT-7025,OPP-4004,USR-3058,Phone Call,Phone Call re: Wraith Athletics - PulseMedia - New Busi,2021-08-03,30.0,,1,10
ACT-7026,OPP-4004,USR-3058,Email,Email re: Wraith Athletics - PulseMedia - New Busi,2021-08-12,,Positive - Follow up scheduled,1,19
ACT-7027,OPP-4004,USR-3058,Phone Call,Phone Call re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,30.0,Positive - Follow up scheduled,1,28
ACT-7028,OPP-4004,USR-3058,Phone Call,Phone Call re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,90.0,Positive - Follow up scheduled,1,28
ACT-7029,OPP-4004,USR-3058,Demo,Demo re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,,Positive - Follow up scheduled,1,28
ACT-7030,OPP-4004,USR-3058,Demo,Demo re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,90.0,Positive - Moving to next stage,1,28
ACT-7031,OPP-4004,USR-3058,Video Meeting,Video Meeting re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,15.0,Positive - Client interested,1,28
ACT-7032,OPP-4004,USR-3058,Video Meeting,Video Meeting re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,30.0,Neutral - Information shared,0,28
ACT-7033,OPP-4004,USR-3058,Email,Email re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,,Positive - Follow up scheduled,1,28
ACT-7034,OPP-4004,USR-3058,In-Person Meeting,In-Person Meeting re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,90.0,Positive - Follow up scheduled,0,28
ACT-7035,OPP-4004,USR-3058,Phone Call,Phone Call re: Wraith Athletics - PulseMedia - New Busi,2021-08-21,15.0,Positive - Client interested,0,28
ACT-7036,OPP-4005,USR-3071,Phone Call,Phone Call re: Neon Cosmetics - BrandVault - New Busine,2016-07-07,45.0,Positive - Follow up scheduled,1,1
ACT-7037,OPP-4005,USR-3071,Demo,Demo re: Neon Cosmetics - BrandVault - New Busine,2016-07-20,,Positive - Follow up scheduled,1,14
ACT-7038,OPP-4005,USR-3071,Email,Email re: Neon Cosmetics - BrandVault - New Busine,2016-07-24,,,0,18
ACT-7039,OPP-4005,USR-3071,Proposal Sent,Proposal Sent re: Neon Cosmetics - BrandVault - New Busine,2016-07-31,90.0,Positive - Follow up scheduled,1,25
ACT-7040,OPP-4005,USR-3071,In-Person Meeting,In-Person Meeting re: Neon Cosmetics - BrandVault - New Busine,2016-08-12,,Positive - Client interested,1,37
ACT-7041,OPP-4005,USR-3071,Email,Email re: Neon Cosmetics - BrandVault - New Busine,2016-08-12,,Positive - Follow up scheduled,0,37
ACT-7042,OPP-4005,USR-3071,Email,Email re: Neon Cosmetics - BrandVault - New Busine,2016-08-12,,Positive - Client interested,1,37
ACT-7043,OPP-4005,USR-3071,Phone Call,Phone Call re: Neon Cosmetics - BrandVault - New Busine,2016-08-12,45.0,Positive - Client interested,0,37
ACT-7044,OPP-4005,USR-3071,Email,Email re: Neon Cosmetics - BrandVault - New Busine,2016-08-12,,Positive - Client interested,0,37
ACT-7045,OPP-4006,USR-3008,Phone Call,Phone Call re: Zeta Sports - TalentEdge - Upsell - 2018,2018-09-15,45.0,Positive - Follow up scheduled,0,6
ACT-7046,OPP-4006,USR-3008,Phone Call,Phone Call re: Zeta Sports - TalentEdge - Upsell - 2018,2018-09-19,60.0,Positive - Follow up scheduled,0,10
ACT-7047,OPP-4006,USR-3008,Demo,Demo re: Zeta Sports - TalentEdge - Upsell - 2018,2018-10-03,90.0,Negative - Client hesitant,1,24
ACT-7048,OPP-4006,USR-3008,Email,Email re: Zeta Sports - TalentEdge - Upsell - 2018,2018-10-06,,Positive - Follow up scheduled,0,27
ACT-7049,OPP-4006,USR-3008,Proposal Sent,Proposal Sent re: Zeta Sports - TalentEdge - Upsell - 2018,2018-10-17,30.0,Positive - Moving to next stage,1,38
ACT-7050,OPP-4006,USR-3008,Phone Call,Phone Call re: Zeta Sports - TalentEdge - Upsell - 2018,2018-10-17,15.0,Positive - Follow up scheduled,0,38
ACT-7051,OPP-4006,USR-3008,Phone Call,Phone Call re: Zeta Sports - TalentEdge - Upsell - 2018,2018-10-17,30.0,Positive - Moving to next stage,1,38
ACT-7052,OPP-4006,USR-3008,Email,Email re: Zeta Sports - TalentEdge - Upsell - 2018,2018-10-17,,Positive - Follow up scheduled,1,38
ACT-7053,OPP-4007,USR-3025,Email,Email re: Opal Fashion - CreativeMotion - New Busi,2021-12-04,,Neutral - Information shared,0,6
ACT-7054,OPP-4007,USR-3025,Video Meeting,Video Meeting re: Opal Fashion - CreativeMotion - New Busi,2021-12-07,15.0,Positive - Client interested,1,9
ACT-7055,OPP-4007,USR-3025,Phone Call,Phone Call re: Opal Fashion - CreativeMotion - New Busi,2021-12-11,,Negative - Client hesitant,1,13
ACT-7056,OPP-4007,USR-3025,Video Meeting,Video Meeting re: Opal Fashion - CreativeMotion - New Busi,2021-12-18,15.0,Positive - Follow up scheduled,0,20
ACT-7057,OPP-4007,USR-3025,Email,Email re: Opal Fashion - CreativeMotion - New Busi,2021-12-26,,Negative - Client hesitant,0,28
ACT-7058,OPP-4007,USR-3025,In-Person Meeting,In-Person Meeting re: Opal Fashion - CreativeMotion - New Busi,2022-01-04,60.0,Positive - Moving to next stage,0,37
ACT-7059,OPP-4007,USR-3025,Video Meeting,Video Meeting re: Opal Fashion - CreativeMotion - New Busi,2022-01-11,45.0,Neutral - Information shared,1,44
ACT-7060,OPP-4008,USR-3029,Video Meeting,Video Meeting re: Lambda Fashion - CreativeMotion - New Bu,2016-06-06,,Positive - Follow up scheduled,1,10
ACT-7061,OPP-4008,USR-3029,Email,Email re: Lambda Fashion - CreativeMotion - New Bu,2016-06-07,,Positive - Follow up scheduled,1,11
ACT-7062,OPP-4008,USR-3029,Proposal Sent,Proposal Sent re: Lambda Fashion - CreativeMotion - New Bu,2016-06-12,45.0,Positive - Follow up scheduled,0,16
ACT-7063,OPP-4008,USR-3029,Phone Call,Phone Call re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,15.0,Positive - Follow up scheduled,1,26
ACT-7064,OPP-4008,USR-3029,Phone Call,Phone Call re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,15.0,Positive - Follow up scheduled,1,26
ACT-7065,OPP-4008,USR-3029,In-Person Meeting,In-Person Meeting re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,30.0,Neutral - Information shared,1,26
ACT-7066,OPP-4008,USR-3029,Email,Email re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,,Positive - Client interested,1,26
ACT-7067,OPP-4008,USR-3029,Video Meeting,Video Meeting re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,60.0,Positive - Client interested,0,26
ACT-7068,OPP-4008,USR-3029,Video Meeting,Video Meeting re: Lambda Fashion - CreativeMotion - New Bu,2016-06-22,30.0,Neutral - Information shared,1,26
