contract_id,opportunity_id,account_id,contract_start_date,contract_end_date,contract_duration_months,contract_value,payment_terms,signed_date,contract_status,has_royalty_clause,royalty_pct,royalty_threshold_usd,number_of_revisions
CON-8000,OPP-4001,ACC-1108,2020-10-14,2021-04-12,6,445000,Monthly instalments,2020-10-14,Active,1,6.7,578000.0,2
CON-8001,OPP-4002,ACC-1182,2020-10-06,2022-09-26,24,386500,50% upfront / 50% on delivery,2020-10-06,Active,1,9.7,502000.0,3
CON-8002,OPP-4003,ACC-1036,2020-04-14,2020-10-11,6,592000,Upon signing,2020-04-14,Expired,1,8.2,770000.0,2
CON-8003,OPP-4004,ACC-1120,2021-08-21,2024-08-05,36,115500,Net 60,2021-08-21,Expired,0,,,0
CON-8004,OPP-4005,ACC-1186,2016-08-12,2017-08-07,12,1200000,Monthly instalments,2016-08-12,Active,1,10.8,1560000.0,3
CON-8005,OPP-4006,ACC-1217,2018-10-17,2019-10-12,12,85000,Net 60,2018-10-17,Expired,0,,,5
CON-8006,OPP-4008,ACC-1053,2016-06-22,2017-12-14,18,149000,Monthly instalments,2016-06-22,Renewed,0,,,1
CON-8007,OPP-4010,ACC-1024,2024-09-04,2025-08-30,12,330000,Net 60,2024-09-04,Active,0,,,0
CON-8008,OPP-4011,ACC-1187,2021-10-31,2022-10-26,12,62000,50% upfront / 50% on delivery,2021-10-31,Renewed,0,,,2
CON-8009,OPP-4012,ACC-1089,2023-05-16,2024-11-06,18,260500,Net 30,2023-05-16,Active,0,,,5
CON-8010,OPP-4013,ACC-1168,2024-12-11,2025-06-09,6,141000,Net 30,2024-12-11,Expired,0,,,0
CON-8011,OPP-4014,ACC-1065,2023-07-05,2024-01-01,6,128000,Upon signing,2023-07-05,Active,0,,,0
CON-8012,OPP-4015,ACC-1156,2017-07-27,2018-07-22,12,88500,Net 60,2017-07-27,Renewed,0,,,4
CON-8013,OPP-4016,ACC-1186,2023-03-02,2026-02-14,36,192000,Net 60,2023-03-02,Renewed,0,,,1
CON-8014,OPP-4017,ACC-1147,2022-02-15,2023-02-10,12,186500,Net 60,2022-02-15,Expired,0,,,2
CON-8015,OPP-4020,ACC-1061,2020-12-20,2021-12-15,12,103500,Net 60,2020-12-20,Active,0,,,0
CON-8016,OPP-4021,ACC-1103,2018-11-02,2019-10-28,12,92500,Net 60,2018-11-02,Active,0,,,1
CON-8017,OPP-4025,ACC-1025,2023-02-22,2026-02-06,36,90500,Net 60,2023-02-22,Active,0,,,1
CON-8018,OPP-4026,ACC-1177,2018-11-08,2020-05-01,18,192500,50% upfront / 50% on delivery,2018-11-08,Expired,0,,,4
CON-8019,OPP-4030,ACC-1191,2018-03-04,2018-08-31,6,241000,Net 30,2018-03-04,Renewed,0,,,1
CON-8020,OPP-4031,ACC-1111,2018-10-17,2020-10-06,24,301500,Net 30,2018-10-17,Renewed,0,,,5
CON-8021,OPP-4034,ACC-1011,2024-11-26,2025-05-25,6,320000,50% upfront / 50% on delivery,2024-11-26,Expired,1,9.3,416000.0,5
CON-8022,OPP-4037,ACC-1138,2023-04-07,2024-09-28,18,290000,Net 30,2023-04-07,Active,0,,,4
CON-8023,OPP-4039,ACC-1179,2023-12-09,2024-12-03,12,500000,Monthly instalments,2023-12-09,Expired,0,,,4
CON-8024,OPP-4040,ACC-1128,2023-08-18,2025-02-08,18,83500,Monthly instalments,2023-08-18,Renewed,0,,,1
CON-8025,OPP-4044,ACC-1058,2020-08-12,2021-08-07,12,151000,Upon signing,2020-08-12,Active,0,,,4
